Timestamp;Datos Demográficos (Seleccione múltiples);¿A qué partido pertenece o tiene afinidad?;Ubicación de la Encuesta;Barrio o Compañía;Calificación: Gestión del Intendente Municipal;Calificación: Gestión del Presidente de la República;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;¿Qué servicio público debe mejorar la municipalidad?
2026-04-13T13:20:50.873Z;Mujer, Adulto Mayor;Partido Colorado;-27.3862357,-56.8507611;Núcleo 3;Mala;Buena;;Doctora talavera;Todo
2026-04-13T13:22:52.845Z;Varón;Partido Colorado;-27.3869535,-56.850053;Núcleo 3;Excelente;Excelente;Christian Rolon;2A opinión 6;Recolección de basura
2026-04-13T13:26:40.159Z;Varón, Mayor;Partido Colorado;-27.3870023,-56.8497868;Núcleo 3;Muy Mala;Muy Mala;Jose Mutti;Gricelda talavera;Todo
2026-04-13T13:29:29.433Z;Mujer, Mayor;Partido Colorado;-27.3857749,-56.850393;Núcleo 4;Buena;Buena;;Ingrid;Recolección
2026-04-13T13:32:28.428Z;Mujer, Mayor;Partido Colorado;-27.3855706,-56.8501524;Núcleo 4;Muy Mala;Mala;Jose Mutti;Hugo ramirez;Recolección
2026-04-13T13:32:47.367Z;Mujer, Mayor;;-27.3855597,-56.8515962;Núcleo 4;Buena;Muy Mala;Jose Mutti;Ninguna;Todo
2026-04-13T13:34:00.167Z;Mujer, Joven;Partido Colorado;-27.3879351,-56.8487128;Núcleo 3;Buena;Mala;Jose Mutti;Arnildo;Todo
2026-04-13T13:35:39.257Z;Mujer, Joven;Partido Colorado;-27.3856352,-56.8516148;Núcleo 4;Muy Mala;Muy Mala;Christian Rolon;Ninguno;Pago de personal
2026-04-13T13:36:00.730Z;Varón, Joven;Partido Colorado;-27.3877781,-56.8482951;Núcleo 3;Buena;Buena;Christian Rolon;Wlirfrido;Agua potable
2026-04-13T13:37:41.872Z;Varón, Mayor;Partido Colorado;-27.3877812,-56.8483164;Núcleo 3;NS/NR;NS/NR;;;Todo
2026-04-13T13:38:46.185Z;Mujer, Joven;;-27.385293,-56.8511147;Núcleo 4;Muy Mala;Mala;;Ninguna;Camino trabajo
2026-04-13T13:42:39.971Z;;;-27.3853307,-56.8510437;;;;Christian Rolon;W Aquino;N
2026-04-13T13:42:46.924Z;Mujer, Joven;Partido Colorado;-27.3869518,-56.8487337;Núcleo 4;Muy Mala;Muy Mala;Christian Rolon;Ellas legizamon;Las rutas
2026-04-13T13:46:51.148Z;Varón, Mayor;Partido Colorado;-27.3849286,-56.8508792;Núcleo 4;Buena;Buena;Jose Mutti;Ninguna;
2026-04-13T13:49:41.122Z;Mujer;Partido Colorado;-27.3863591,-56.8477741;Núcleo 4;Buena;Buena;;;Recolección
2026-04-13T13:54:21.664Z;;Partido Colorado;-27.3872379,-56.8463134;Núcleo 3;Excelente;Buena;;;Salud
2026-04-13T13:56:12.264Z;Varón, Joven;Partido Colorado;-27.3874514,-56.8463448;Núcleo 3;Buena;Mala;Christian Rolon;Diosnel bogado;Agua
2026-04-13T14:02:41.299Z;Mujer, Mayor;Partido Colorado;-27.3868422,-56.8473617;Núcleo 3;Mala;Muy Mala;;Sofia troche;Todo
2026-04-13T14:04:18.037Z;Varón, Mayor;Partido Colorado;-27.3862866,-56.8447454;Núcleo 3;Excelente;Excelente;;Ns nr;Recolección y eliminación de basura
2026-04-13T14:07:12.761Z;Mujer, Mayor;;-27.3852793,-56.8454313;Núcleo 3;Mala;Buena;;Ninguna;Limpieza
2026-04-13T14:08:10.641Z;Mujer, Adulto Mayor;Partido Colorado;-27.3873044,-56.8466588;Núcleo 3;Mala;Mala;;;Recolección de basura
2026-04-13T14:11:05.635Z;Mujer, Joven;Partido Colorado;-27.387583,-56.8464275;Núcleo 3;Muy Mala;Muy Mala;Jose Mutti;Diego barreto;Recolección de basura
2026-04-13T14:11:10.597Z;Mujer, Adulto Mayor;Partido Colorado;-27.3858806,-56.8447424;Núcleo 3;Mala;Mala;;;Todo
2026-04-13T14:13:38.103Z;Varón, Mayor;Partido Colorado;-27.3876187,-56.8464211;Núcleo 3;Buena;Mala;Christian Rolon;Miguel cuella;Todo
2026-04-13T14:15:34.778Z;Varón, Joven;Partido Colorado;-27.384894,-56.8446471;Núcleo 3;;Muy Mala;Jose Mutti;Roberto Ranoni;Todas
2026-04-13T14:17:51.687Z;Mujer, Mayor;Partido Colorado;-27.3859018,-56.8455906;Núcleo 3;Excelente;Buena;Christian Rolon;;Agua caminos
2026-04-13T14:19:09.889Z;Mujer, Mayor;Partido Colorado;-27.3848993,-56.8451025;Núcleo 3;Mala;Muy Mala;Jose Mutti;Rosana villalba;Limpieza recolección de basura, agua desagues
2026-04-13T14:21:38.987Z;Mujer, Mayor;Partido Colorado;-27.3877802,-56.8481418;Núcleo 3;Buena;Buena;Christian Rolon;;Falta de trabajo
2026-04-13T14:24:45.448Z;Mujer, Joven;Partido Colorado;-27.3877983,-56.8479998;Núcleo 3;Mala;Mala;;;Todo
2026-04-13T14:25:48.881Z;Mujer, Joven;Partido Colorado;-27.3862757,-56.8455747;Núcleo 3;Buena;Buena;Jose Mutti;Hugito ramirez;Cuidado de áreas verdes
2026-04-13T14:29:20.274Z;Mujer, Joven;Partido Colorado;-27.3878159,-56.8475938;Núcleo 3;Muy Mala;Buena;;;Recolección de basura
2026-04-13T14:29:21.970Z;Mujer, Mayor;Partido Colorado;-27.3852823,-56.8459089;Núcleo 3;Excelente;;Jose Mutti;Ninguna;Apoyo a emprendedores
2026-04-13T14:32:15.005Z;Mujer, Mayor;Partido Colorado;-27.3866716,-56.8463551;Núcleo 3;Muy Mala;Mala;Jose Mutti;Ramon palacios;Recolección, trabajos
2026-04-13T14:42:40.833Z;Mujer, Mayor;Partido Colorado;-27.3847787,-56.8430229;Núcleo 6;Mala;Mala;Jose Mutti;;Recolección de basura
2026-04-13T14:44:31.924Z;Mujer, Mayor;Partido Colorado;-27.3844181,-56.8428449;Núcleo 6;Mala;Muy Mala;Jose Mutti;;Recolección de basura
2026-04-13T14:46:17.547Z;Varón, Mayor;;-27.3854302,-56.8390205;;Buena;Buena;Jose Mutti;Sofia Troche;Todas las areas
2026-04-13T14:47:06.068Z;Mujer, Mayor;Partido Colorado;-27.3827022,-56.8422322;Núcleo 5;Mala;Mala;Jose Mutti;;Trabajos
2026-04-13T14:48:49.944Z;Mujer, Joven;Partido Colorado;-27.3855252,-56.8391778;;Buena;;Christian Rolon;Ningúno;Las calles
2026-04-13T14:52:11.067Z;Mujer, Mayor;Partido Colorado;-27.3840384,-56.8424097;Núcleo 6;Mala;Buena;Christian Rolon;Carlos ramirez;Recolección de basura
2026-04-13T14:52:47.343Z;;Partido Colorado;-27.3825808,-56.841653;Núcleo 5;Mala;Muy Mala;Jose Mutti;Carlos ramirez;Trabajos
2026-04-13T14:53:26.201Z;;;-27.3857561,-56.8392875;;NS/NR;NS/NR;;Rosana Villalba;Agua
2026-04-13T14:56:18.901Z;Varón, Mayor;Partido Colorado;-27.3841038,-56.8419151;Núcleo 6;Buena;Buena;Christian Rolon;Talavera;Todos los servicios
2026-04-13T15:00:39.645Z;Adulto Mayor, Mujer;Partido Colorado;-27.3827682,-56.8409035;Núcleo 5;Buena;Mala;;;Limpieza y recolección
2026-04-13T15:01:26.033Z;Mujer, Joven;Partido Colorado;-27.3863823,-56.8399997;;Buena;Muy Mala;Christian Rolon;Ninguno;Limpieza
2026-04-13T15:01:41.464Z;Varón, Joven;Partido Colorado;-27.3843482,-56.8410492;Núcleo 6;Buena;Buena;Christian Rolon;;Agua potable
2026-04-13T15:03:31.182Z;Mayor, Mujer;Partido Colorado;-27.3863572,-56.8399889;;Muy Mala;Muy Mala;Jose Mutti;Sofia Troche;Todos
2026-04-13T15:06:53.973Z;Joven;;-27.386653,-56.8402483;;Buena;Buena;Christian Rolon;Carlos Arrua;Limpieza
2026-04-13T15:07:34.998Z;Mayor, Mujer;Partido Colorado;-27.3827994,-56.8399851;Núcleo 5;Muy Mala;Muy Mala;Jose Mutti;Arnaldo cardozo;Recolección
2026-04-13T15:10:20.372Z;Mujer, Mayor;;-27.3867666,-56.8401365;Núcleo 7;Mala;Mala;Jose Mutti;Edgardo Villalba;Limpieza
2026-04-13T15:11:26.901Z;Varón, Mayor;Partido Colorado;-27.3849276,-56.843794;Núcleo 6;Buena;Buena;Christian Rolon;Jose vera;Transporte
2026-04-13T15:15:00.562Z;Mujer, Varón, Mayor;Partido Colorado;-27.3868881,-56.8396672;Núcleo 7;Buena;;Christian Rolon;Luis Vera;Limpieza
2026-04-13T15:15:14.979Z;Varón, Mayor;Partido Colorado;-27.3826815,-56.8391745;Núcleo 5;Buena;Buena;Christian Rolon;William aquino;Salud
2026-04-13T15:17:00.666Z;Mujer, Joven;Partido Colorado;-27.3839836,-56.842393;Núcleo 6;Muy Mala;Mala;Christian Rolon;Wilian aquino;Recolección de basura
2026-04-13T15:17:53.334Z;Mujer, Mayor;Partido Colorado;-27.3826179,-56.8386338;Núcleo 5;Muy Mala;Muy Mala;;;Todo
2026-04-13T15:18:31.841Z;Mujer, Mayor;Partido Colorado;-27.386871,-56.8395572;Núcleo 7;Buena;Buena;Jose Mutti;William Aquino;Basura
2026-04-13T15:19:57.596Z;Mujer, Mayor;Partido Colorado;-27.3827637,-56.8384041;;Mala;Muy Mala;Jose Mutti;;Todo
2026-04-13T15:19:58.392Z;Mujer, Joven;Partido Colorado;-27.3839953,-56.8416033;Núcleo 6;Buena;Buena;Jose Mutti;;Rutas
2026-04-13T15:22:03.906Z;Varón, Mayor;Partido Colorado;-27.3867356,-56.8393294;Núcleo 7;Buena;;;Arnildo Bernal;Agua recolección
2026-04-13T15:24:55.701Z;Mujer, Joven;Partido Colorado;-27.3842045,-56.8407982;Núcleo 6;Buena;Buena;Christian Rolon;;Todo
2026-04-13T15:25:04.147Z;Mujer, Joven;Partido Colorado;-27.3865955,-56.8393234;Núcleo 7;Buena;Mala;;Diego Barreto;Recolección de basura vendedor reubicacion
2026-04-13T15:28:41.722Z;Mujer, Mayor;Partido Colorado;-27.381852,-56.8389643;Núcleo 5;Excelente;Buena;Christian Rolon;Daniel maciel;Electricidad
2026-04-13T15:29:23.294Z;Mujer, Joven;Partido Colorado;-27.3867956,-56.8392534;Núcleo 7;Buena;Buena;;Dra Talavera;Desague Cloacal
2026-04-13T15:29:31.756Z;;PLRA;-27.3848807,-56.8406685;;Buena;Buena;Christian Rolon;Edgardo;Cobro taza de impuestos
2026-04-13T15:34:10.614Z;Mujer, Mayor;Partido Colorado;-27.3817968,-56.8401427;Núcleo 5;Muy Mala;Muy Mala;Jose Mutti;;Todo
2026-04-13T15:36:40.469Z;Varón, Mayor;Partido Colorado;-27.3838516,-56.8401403;Núcleo 6;Buena;Buena;Christian Rolon;Denis;Agua potable
2026-04-13T15:37:26.050Z;Mujer, Joven;Partido Colorado;-27.3864614,-56.8388711;Núcleo 7;Mala;Mala;Jose Mutti;Sofia Troche;Desagüe cloacal
2026-04-13T15:39:02.717Z;Mujer, Mayor;Partido Colorado;-27.3817207,-56.8406427;Núcleo 5;Buena;Buena;Christian Rolon;Miguel marin;Recolección y limpieza
2026-04-13T15:39:31.216Z;Varón, Joven;Partido Colorado;-27.383797,-56.84021;Núcleo 6;Mala;Mala;Christian Rolon;Edgardo;Recolección de basura
2026-04-13T15:40:24.889Z;Mujer, Mayor;Partido Colorado;-27.3860413,-56.8389174;Núcleo 7;Mala;Mala;Jose Mutti;Dra Talavera;Todos
2026-04-13T15:43:36.912Z;Varón, Mayor;Partido Colorado;-27.3858068,-56.8385904;Núcleo 7;Mala;Mala;Jose Mutti;Hijo de lorenzo oriel;
2026-04-13T15:44:04.357Z;Mujer, Mayor;Partido Colorado;-27.3821033,-56.8422124;Núcleo 5;Mala;Muy Mala;Christian Rolon;Arnaldo cardozo;Sueldos agua recolección
2026-04-13T15:46:56.742Z;Mujer, Mayor;Partido Colorado;-27.3860156,-56.8382838;Núcleo 7;Mala;Buena;Jose Mutti;Cardozo;Limpieza
2026-04-13T16:29:29.887Z;Mujer, Joven;Partido Colorado;-27.4109378,-56.9634127;;Muy Mala;Muy Mala;Jose Mutti;Ingrid;Agua potable
2026-04-13T16:31:55.537Z;Mujer, Mayor;Partido Colorado;-27.4117991,-56.9635665;Compañia Coratei;Muy Mala;Muy Mala;;;Todo
2026-04-13T16:35:38.482Z;Varón, Joven;Otros;-27.4113788,-56.9635916;Compañia Coratei;Buena;Mala;Christian Rolon;Victor;La ruta
2026-04-13T16:36:12.003Z;Mujer, Joven;Partido Colorado;-27.4133406,-56.9631901;Compañia Coratei;Buena;Buena;Christian Rolon;Carlos arrua;Salud
2026-04-13T16:37:01.298Z;Mujer;Partido Colorado;-27.4277713,-56.9624859;Compañia Coratei;Excelente;Excelente;Christian Rolon;Ninguno;Ninguna
2026-04-13T16:39:40.834Z;Varón, Mayor;Partido Colorado;-27.4134926,-56.9634229;Compañia Coratei;Mala;Mala;;Victor espinola;Gestiones
2026-04-13T16:41:29.788Z;Varón, Joven;Partido Colorado;-27.4138555,-56.9629853;Compañia Coratei;Muy Mala;Buena;Christian Rolon;Maximo;Rutas y loma
2026-04-13T16:43:28.091Z;Mujer, Joven;Partido Colorado;-27.4266464,-56.9627216;Compañia Coratei;Buena;Buena;Jose Mutti;Ninguna;Agua limpieza camino pago de salirio
2026-04-13T16:44:49.314Z;Mujer, Joven;Partido Colorado;-27.4154525,-56.9633447;San José Obrero;Buena;Mala;Jose Mutti;;Agua rutas
2026-04-13T16:46:21.241Z;Varón, Joven;Partido Colorado;-27.4154719,-56.9632863;Compañia Coratei;Mala;Buena;Jose Mutti;Victor;Agua potable
2026-04-13T16:46:21.930Z;Joven, Varón;Partido Colorado;-27.4257216,-56.9625108;Compañia Coratei;Excelente;Mala;Christian Rolon;Ellas Leguisamon;Apoyo a emprendedores
2026-04-13T16:49:16.667Z;Mujer, Mayor;Partido Colorado;-27.4163179,-56.9633339;Compañia Coratei;Muy Mala;Mala;Jose Mutti;Socrate ifu;Salud
2026-04-13T16:49:29.336Z;Mujer, Joven;Partido Colorado;-27.4251531,-56.9626863;Compañia Coratei;Buena;Buena;Jose Mutti;Victor Espinola;Agua y recolección de basura
2026-04-13T16:55:04.214Z;Mujer, Mayor;Partido Colorado;-27.4239473,-56.9623671;Compañia Coratei;Buena;Buena;Christian Rolon;William Aquino;Limpieza en gral agua
2026-04-13T16:55:31.343Z;Mujer, Mayor;Partido Colorado;-27.4189016,-56.9631192;Compañia Coratei;Buena;Buena;Christian Rolon;;Todo
2026-04-13T16:59:26.571Z;Varón, Mayor;Partido Colorado;-27.4206947,-56.9625237;Compañia Coratei;Buena;Mala;Christian Rolon;Carlos Ramires;Recolección de basura
2026-04-13T16:59:46.724Z;Varón, Adulto Mayor;Partido Colorado;-27.4203565,-56.9635381;Compañia Coratei;Buena;Buena;;;Agua higiene y comodidad
